ORACLE_SP, INFORMATICA_FOLDER, INFORMATICA_WORKFLOW, ABAC_PROC_ID, ABAC_PROC_NM, ABAC_PROPERTY_NAMESPACE, ABAC_PROPERTY_NAME, ABAC_PROPERTY_VALUE
N/A, edw_abac, w_abac_create_app_config, 10000006, abac_create_app_config, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_abac, w_abac_create_app_config, 10000006, abac_create_app_config, Global, $$TARGET_TABLE_OWNER_NAME_TAG, <target table owner>
N/A, edw_abac, w_abac_create_app_config, 10000006, abac_create_app_config, Global, $$TARGET_TABLE_TAG, <target table>
N/A, edw_abac, w_abac_create_batch_config, 10000004, abac_create_batch_config, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_abac, w_abac_create_batch_config, 10000004, abac_create_batch_config, Global, $$TARGET_TABLE_OWNER_NAME_TAG, <target table owner>
N/A, edw_abac, w_abac_create_batch_config, 10000004, abac_create_batch_config, Global, $$TARGET_TABLE_TAG, <target table>
N/A, edw_abac, w_abac_create_global_config, 10000005, abac_create_global_config, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_abac, w_abac_create_global_config, 10000005, abac_create_global_config, Global, $$TARGET_TABLE_OWNER_NAME_TAG, <target table owner>
N/A, edw_abac, w_abac_create_global_config, 10000005, abac_create_global_config, Global, $$TARGET_TABLE_TAG, <target table>
N/A, edw_abac, w_abac_create_proc_config, 10000003, abac_create_proc_config, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_abac, w_abac_create_proc_config, 10000003, abac_create_proc_config, Global, $$TARGET_TABLE_OWNER_NAME_TAG, <target table owner>
N/A, edw_abac, w_abac_create_proc_config, 10000003, abac_create_proc_config, Global, $$TARGET_TABLE_TAG, <target table>
N/A, edw_abac, w_abac_load_app_config, 10000002, abac_load_app_config, Global, $$ENTT_TABLE, ABAC_APP
N/A, edw_abac, w_abac_load_app_config, 10000002, abac_load_app_config, Global, $$PROP_TABLE, ABAC_APP_PROP
N/A, edw_abac, w_abac_load_app_config, 10000002, abac_load_app_config, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_abac, w_abac_load_app_config, 10000002, abac_load_app_config, Global, $$TARGET_TABLE_OWNER_NAME_TAG, <target table owner>
N/A, edw_abac, w_abac_load_app_config, 10000002, abac_load_app_config, Global, $$TARGET_TABLE_TAG, <target table>
N/A, edw_abac, w_abac_load_batch_config, 10000001, abac_load_batch_config, Global, $$ENTT_TABLE, ABAC_BATCH
N/A, edw_abac, w_abac_load_batch_config, 10000001, abac_load_batch_config, Global, $$PROP_TABLE, ABAC_BATCH_PROP
N/A, edw_abac, w_abac_load_batch_config, 10000001, abac_load_batch_config, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_abac, w_abac_load_batch_config, 10000001, abac_load_batch_config, Global, $$TARGET_TABLE_OWNER_NAME_TAG, <target table owner>
N/A, edw_abac, w_abac_load_batch_config, 10000001, abac_load_batch_config, Global, $$TARGET_TABLE_TAG, <target table>
N/A, edw_abac, w_abac_load_global_config, 10000000, abac_load_global_config, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_abac, w_abac_load_global_config, 10000000, abac_load_global_config, Global, $$TARGET_TABLE_OWNER_NAME_TAG, <target table owner>
N/A, edw_abac, w_abac_load_global_config, 10000000, abac_load_global_config, Global, $$TARGET_TABLE_TAG, <target table>
N/A, edw_abac, w_abac_load_proc_config, 9999999, abac_load_proc_config, Global, $$ENTT_TABLE, ABAC_PROC
N/A, edw_abac, w_abac_load_proc_config, 9999999, abac_load_proc_config, Global, $$PROP_TABLE, ABAC_PROC_PROP
N/A, edw_abac, w_abac_load_proc_config, 9999999, abac_load_proc_config, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_abac, w_abac_load_proc_config, 9999999, abac_load_proc_config, Global, $$TARGET_TABLE_OWNER_NAME_TAG, <target table owner>
N/A, edw_abac, w_abac_load_proc_config, 9999999, abac_load_proc_config, Global, $$TARGET_TABLE_TAG, <target table>
N/A, edw_atomic, w_dvc_disc_ielg_upd_seq_nbr_and_curr_ind, 100603, dvc_disc_ielg_upd_seq_nbr_and_curr_ind, Global, $$RULE_LBL_RES_OWNER_FAC_ID, RES_OWNER_FAC_ID
N/A, edw_atomic, w_dvc_disc_ielg_upd_seq_nbr_and_curr_ind, 100603, dvc_disc_ielg_upd_seq_nbr_and_curr_ind, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
N/A, edw_atomic, w_dvc_item_ref, 1323, dvc_item_ref, Global, $$RULE_LBL_RES_OWNER_FAC_ID, RES_OWNER_FAC_ID
N/A, edw_atomic, w_dvc_item_ref, 1323, dvc_item_ref, Global, $$SSCR_REF_CD_RES_OWNER, RES_OWNER
